key,input,50uM_Inhibition
DHTOJANCPDVXGK-UHFFFAOYSA-N,NCCCCN1C(=O)N(CCCCN)C(=O)C(Cc2ccc(C(F)(F)F)cc2)(Cc2ccc(C(F)(F)F)cc2)C1=O,0.02757711345329881
WNPLITIXMFABAF-IFLJXUKPSA-N,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.Cl,0.9908917069435119
BHTSMGGLFPERHN-UHFFFAOYSA-N,O=C(O)C(F)(F)F.OC(COc1ccc(Cl)cc1Cl)Cn1c(NCCCN2CCOCC2)nc2ccccc21,0.002135724930849392
BKONNPBZAYHNOV-VKHMYHEASA-N,O=C1CC[C@@H](C(F)(F)F)N1,0.0025654077986473566
NWMCPTYKHJQJQL-UHFFFAOYSA-N,NC(=O)c1ccc(OCC(F)(F)C(F)F)nc1,0.0006484121263383713
QGKATKGSGNBYES-UHFFFAOYSA-N,CCOC(=O)c1ccc(NS(=O)(=O)CC)cc1,2.9951665112548653e-05
IFCWKMAMSJLFIX-UHFFFAOYSA-N,COc1ccc(CN(C)CC(N)=O)c(Br)c1OC,0.051021155156195167
QJCNOPYLQNMAOT-UHFFFAOYSA-N,CN1CCN(CCNC(=O)c2ccc(Cl)cc2Cl)CC1,0.0858418802730739
QXRVIBQTXXVBSB-UHFFFAOYSA-N,O=C(O)c1cn(C2CC2)c2cc(N3CCN(CCCn4cc(CNc5ccc([N+](=O)[O-])c6nonc56)nn4)CC3)c(F)cc2c1=O,0.9899777889251709
YCQNUOYFBNSHGJ-UHFFFAOYSA-N,COc1ccc(CNc2ccncc2F)cc1C#N,0.002528963549411856
FOMIQKZKACPRQP-UHFFFAOYSA-N,COCCC(NC(=O)NCc1ccccn1)C(C)(C)C,0.00425222653648234
SYXAGRJDGYYJIC-UHFFFAOYSA-N,CN(C)S(=O)(=O)CCCN1CCCC(CO)C1,0.00027023310594813664
NCDMBKAOLJZLKO-NXEZZACHSA-N,CN(CC(=O)O)NC(=O)C[C@H](N)C[C@@H](O)CNCCCO,0.005141763619758421
UMHXJEJQKVEFSG-UHFFFAOYSA-N,CCOC(=O)Cc1csc(NC(=O)c2ccccn2)n1,0.028020563046447934
QUHARGDBJJUOEB-UHFFFAOYSA-N,CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,0.06723939087241888
SVWCWICWUCWFRE-CABCVRRESA-N,N[C@H]1CN(C(=O)COCc2ccccc2)C[C@@H]1C1CC1,0.01132834802265279
